type,id,parent_id,category_id,title,assigned_to,completed,comments,due_date
task,6,,housing,Sell or rent out US property,,0,,
subtask,6-1,6,,Get property appraisal,,0,,
subtask,6-2,6,,List with realtor or prepare for sale,,0,,
subtask,6-3,6,,Complete sale/rental paperwork,,0,,
task,7,,housing,Cancel/transfer US lease or mortgage,,0,,
task,8,,housing,Find temporary housing in India,,0,,
task,9,,housing,Arrange long-term housing in India,,0,,
task,10,,housing,Update address with USPS mail forwarding,,0,,
task,11,,finances,Open NRE/NRO bank account in India,,0,,
task,12,,finances,"Transfer funds to India (wire, Wise, etc.)",,0,,
task,13,,finances,Close or maintain US bank accounts,,0,,
task,14,,finances,Handle 401k/IRA (rollover or withdraw),,0,,
task,15,,finances,Update investment accounts for non-resident status,,0,,
task,16,,finances,Cancel US credit cards or set up international use,,0,,
task,17,,shipping,Get quotes from international movers,,0,,
task,18,,shipping,Create inventory of items to ship,,0,,
task,19,,shipping,Arrange customs documentation for India,,0,,
task,20,,shipping,Ship or sell vehicle,,0,,
task,21,,shipping,Donate/sell items you won't take,,0,,
task,22,,employment,Give notice to US employer,,0,,
task,23,,employment,Transfer or cash out 401k,,0,,
task,24,,employment,Get employment verification letter,,0,,
task,25,,employment,Arrange remote work or India job (if applicable),,0,,
task,26,,healthcare,Get copies of medical records,,0,,
task,27,,healthcare,Transfer prescriptions to India,,0,,
task,28,,healthcare,Cancel US health insurance,,0,,
task,29,,healthcare,Get travel insurance for move period,,0,,
task,30,,healthcare,Research health insurance options in India,,0,,
task,31,,utilities,"Cancel US electricity, gas, water",,0,,
task,32,,utilities,Cancel internet and phone plans,,0,,
task,33,,utilities,Set up India mobile number,,0,,
task,34,,utilities,Update address for all subscriptions,,0,,
task,35,,documents,Get documents apostilled/notarized,,0,,
task,36,,documents,"Birth certificates, marriage cert (if needed)",,0,,
task,37,,documents,Education transcripts and degree copies,,0,,
task,38,,documents,Update emergency contacts and beneficiaries,,0,,
task,39,,family,Enroll kids in India school,,0,,
task,40,,family,Get school records transferred,,0,,
task,41,,family,"Pet relocation (vaccinations, travel crate)",,0,,
task,42,,family,Notify family and friends of new address,,0,,
task,1773528099872,,visa,Renew US passport for Mahaneeya,Gowri,0,,
task,1773528110621,,visa,Renew OCI for Mahaneeya,,0,,
task,1773528141470,,housing,Items to sell,Gayathri,0,,